,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,fc,4,True,1.0,0.10042196858205442,23208.937448987665,6.604698319323375,0.09677498429677209,22211.513494071252,6.394125831156416
0,fc,5,False,0.1,0.09936065790940449,23040.209527681844,6.500958400262808,0.09719506829988449,22590.25691003741,6.364771190066763
0,fc,5,True,0.01,0.10165264599678321,24016.00111947381,6.717860701298567,0.0980918192834557,22952.416539107522,6.451933304302083
0,fc,5,True,0.05,0.0992940213316472,23396.25240800735,6.482342304939857,0.0932768508850739,21724.875496231394,6.041364688140067
0,fc,5,True,0.1,0.09861316462101895,23060.417895147417,6.426070039396822,0.09627306825338706,22548.550164799533,6.259941664849249
0,fc,5,True,0.2,0.09910716772323437,23129.463453895285,6.51005783229775,0.0922979712101531,21711.34988142509,6.01378898883542
0,fc,5,True,0.35,0.09912936767313037,23103.836516449304,6.505270901797311,0.09616493740403843,22566.523853177787,6.262721538423744
0,fc,5,True,0.6,0.09959766717140837,23245.349123066033,6.493818980384708,0.0946569367276609,22038.884052853417,6.146525410353569
0,fc,5,True,0.8,0.10009172656386639,23412.615526579626,6.580743707088903,0.09426696627997234,21927.12618582548,6.172726973684194
0,fc,5,True,1.0,0.0991325468730334,23141.43682937037,6.4507032905055715,0.09722873428369826,22595.012901004844,6.33391588112491
0,fc,6,False,0.1,0.09939931845142473,23178.272291838126,6.498543299941881,0.09777815860968735,22920.67272286537,6.375470105600304
0,fc,6,True,0.01,0.10187337557819785,23508.37240249769,6.701541536840139,0.09998655495548879,23190.469898677457,6.615149696654996
0,fc,6,True,0.05,0.099437003735578,23359.38099036226,6.337967094909783,0.09352666024872908,21997.61491583343,6.02098501589887
0,fc,6,True,0.1,0.09870095518284995,22844.314091113403,6.464139859773757,0.09572758831241072,22350.145172837336,6.306395717254261
0,fc,6,True,0.2,0.09974520169771667,23059.755828292375,6.611254225431766,0.09510751274358267,22104.30930221084,6.258152814176099
