,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,nl,1,False,1.0,0.13984661391741618,145374.30686751366,10.43512322984751,0.1054996549542043,122051.16579675328,7.502459999999959
0,nl,1,True,0.1,0.1452325797492168,140188.35852394422,11.202663210482488,0.11199343814045373,111419.82059902821,7.922136363636341
0,nl,1,True,1.0,0.14875868461846545,156083.07306650098,11.149317213488324,0.10197410486667517,109368.31174794819,7.111065217391305
0,nl,1,True,2.5,0.14677652827570684,154145.74375636407,11.357120804430012,0.11274973448141527,114626.9201888737,8.250964010282743
0,nl,1,True,5.0,0.14962453863163688,143774.93389618964,11.784226182581806,0.11078406040642476,118719.5596425635,7.983176020408108
0,nl,1,True,10.0,0.18160657658866677,161490.88597789433,14.82285390625005,0.10671021233174853,110623.31398624295,7.38717187500004
0,nl,1,True,25.0,0.1819599471071447,176159.61065917494,14.435751903886526,0.10526836671568976,110415.73212433374,6.984601955307193
0,nl,1,True,35.0,0.19426295924985723,185233.5623404837,15.991689120791616,0.11378614212446257,130878.87769695328,7.801876570351732
0,nl,1,True,50.0,0.17454435234921695,181877.5638378728,13.90656185247449,0.12181755076970718,138773.2481749147,8.469874999999933
0,nl,2,False,1.0,0.14819400615741196,168079.92059797174,11.0613245504495,0.10786112840116141,116541.50755105393,7.602803884711698
0,nl,2,True,0.1,0.1448309382303586,151639.58085504375,11.165562695965752,0.11215498494301217,117307.72375937828,7.968297193877485
0,nl,2,True,1.0,0.1453725312391801,155049.14485470875,11.42103724573392,0.11869638731095729,124989.67889229221,8.784058734939835
0,nl,2,True,2.5,0.1612718965563238,149406.48994665474,12.503496153846157,0.10820227806163926,104209.8843371005,7.674977941176558
0,nl,2,True,5.0,0.15233997281423065,158303.1828986306,11.826534731543644,0.11323572942184441,115461.78539583097,8.116894353369725
0,nl,2,True,10.0,0.16352424980365782,168972.24517964912,12.220474038461496,0.11618090710359831,126430.3353003824,8.05324999999995
0,nl,2,True,25.0,0.16960333229813068,186661.50626568642,13.18203535210944,0.10660001184814873,111235.89659287792,7.52891017587937
0,nl,2,True,35.0,0.17875321346836423,198137.47305391356,13.690527037617512,0.11090957975583889,120406.61320724312,7.557333333333334
0,nl,2,True,50.0,0.17948187722416056,186627.70803625416,13.756172669843455,0.12188133472465353,138424.48607413724,8.700821314102564
0,nl,3,False,1.0,0.1456946537914203,142247.80955307244,10.99515463323878,0.10352266074541706,113022.42900040705,7.16425632911391
0,nl,3,True,0.1,0.14842475991284373,170290.3540559917,12.08897545796599,0.10503739559132812,106531.26268733766,7.202919708029197
0,nl,3,True,1.0,0.14732323742859119,152835.5636957987,11.516054736549817,0.1057243966130497,110002.36013270091,7.4906220209723955
0,nl,3,True,2.5,0.15752587042306146,142802.88983253422,12.223199847105711,0.10795354867717645,114572.96689580409,7.4327750000000625
0,nl,3,True,5.0,0.14575333536555848,152412.82256192368,10.870239482739505,0.11705267801007965,121545.90849573715,8.566933760683689
0,nl,3,True,10.0,0.17361296917421326,163611.84000803216,13.693219753265613,0.10582550599205313,112834.88956115911,7.296764380530926
0,nl,3,True,25.0,0.16804865593329335,180423.09036743097,12.975213641552566,0.12162588178380686,124332.30903264594,8.685500000000033
0,nl,3,True,35.0,0.176504070135619,188875.9884756728,13.782642653199007,0.11119430214505642,129111.9470320829,7.541067307692274
0,nl,3,True,50.0,0.1907898051738772,194219.07761738324,15.05769179610045,0.12038533175902724,143408.8542102045,8.366180904522677
