,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,sp,3,True,0.01,0.14272554479710162,162300.5538862236,10.496662793803438,0.139657301213029,159294.90529470262,10.20287396603829
0,sp,3,True,0.05,0.14025043770568668,161052.33052997323,10.350805027173969,0.13735520509044236,157613.8531990067,9.89987289186505
0,sp,3,True,0.1,0.14047704381543538,161556.18987511512,10.310492491864714,0.1333169085685245,154306.74144288656,9.523931017089925
0,sp,3,True,0.2,0.1441072348532847,163544.5009002669,10.792729885248587,0.1390217140837935,158727.09560615808,10.119687822563929
0,sp,3,True,0.35,0.14332002368450417,162583.34413584895,10.603801829844148,0.13532222566259874,155056.39020524427,9.751265816326548
0,sp,3,True,0.6,0.1450234829548758,163952.0365958159,10.768184594100235,0.13464733129202786,154998.31667866654,9.660091145833375
0,sp,3,True,0.8,0.14363222127067168,164223.29503087437,10.693918645903494,0.13622618129219768,156854.74157514775,9.803994280133928
0,sp,3,True,1.0,0.14506047065655986,163435.03883768048,10.996230798969137,0.13762366118789843,155946.66903774755,10.086187597049681
0,sp,4,False,0.1,0.14031811969889144,159810.22971746873,10.301681944444445,0.13617703298478603,155378.59246824594,9.8494580606789
0,sp,4,True,0.01,0.1422998543028323,161726.4540519031,10.6717740140558,0.13889440934216676,157955.99467626456,10.18111537388393
0,sp,4,True,0.05,0.1409484842382475,161276.4875287602,10.519890579561988,0.1380721532394064,158569.24244283975,9.945512834821423
0,sp,4,True,0.1,0.14189468030035315,162202.20393004623,10.500785983048157,0.1355162365173465,156343.67527012146,9.746983508179246
0,sp,4,True,0.2,0.14249367113508582,162670.68117254108,10.645469542918416,0.13710912919671045,156946.58184433146,9.928862500000049
0,sp,4,True,0.35,0.1427286870126164,162053.63308959213,10.614185049019605,0.1361325911257554,155680.3911386794,9.850297772029379
0,sp,4,True,0.6,0.14334874065569578,163398.36863253565,10.716397342387637,0.1347582294765846,155379.43515438595,9.662334385262787
0,sp,4,True,0.8,0.14343218892815968,163750.5857281277,10.786437500000046,0.1356219427795156,155795.86043938823,9.797193764740515
0,sp,4,True,1.0,0.14402863477062217,162865.19462171648,10.764352913533855,0.13791499962243217,157905.52779589716,10.00333454907163
0,sp,5,False,0.1,0.1406704539650354,160819.99696494127,10.307373951781985,0.1349679513471248,154964.70670259782,9.69358655427633
0,sp,5,True,0.01,0.1429822680290081,163587.17440919369,10.689829438250442,0.13758058040246451,157744.78574060765,9.981928372352286
0,sp,5,True,0.05,0.14026911705812384,160671.18608765953,10.357229417206304,0.13515803128899673,155610.75310399724,9.658710268068766
0,sp,5,True,0.1,0.14063267794716644,161673.23568640367,10.316132622454058,0.13511141450089836,155584.6404456425,9.67291503906246
0,sp,5,True,0.2,0.1425665770275002,162059.2366700092,10.627807095125776,0.13650973752115986,156495.05869374637,9.841299319727886
0,sp,5,True,0.35,0.14204398001871205,163346.96530029998,10.440785574712624,0.13439447987595832,155071.69684373742,9.574834578092291
0,sp,5,True,0.6,0.1448370813613729,164658.67438440945,10.848918269230753,0.13674985608512347,156782.8026706716,10.020675675675674
0,sp,5,True,0.8,0.14448660634333244,164466.81298162366,10.916359675480807,0.13668266519903932,156795.5250707608,9.926499423583643
0,sp,5,True,1.0,0.14323388555288327,162940.17790143358,10.74609172843663,0.13586469234619167,155511.79369584893,9.771178229665
0,sp,6,False,0.1,0.1403173275451964,160096.72858843222,10.289175316455722,0.13430138884660522,154617.00274363594,9.631311773850458
0,sp,6,True,0.01,0.14157523067445818,161512.03638297235,10.492360476762759,0.13626635685883434,156008.20158466155,9.833284785067868
0,sp,6,True,0.05,0.14124585671953988,161281.6864805087,10.423537701896121,0.13666246214952946,156714.42518030258,9.89472213541667
0,sp,6,True,0.1,0.14063751316227666,161675.52115803948,10.362468516466757,0.13531277250442114,155447.20184135484,9.787179696209622
0,sp,6,True,0.2,0.14223758769062264,163286.22086909218,10.566806547619064,0.1351816998728053,156196.43114982784,9.706862630208398
0,sp,6,True,0.35,0.14247424734714365,162634.5565865205,10.576256087662319,0.13635207527953708,156316.18540291648,9.799239835520433
0,sp,6,True,0.6,0.14375090655149922,164430.17319088872,10.781377136752115,0.13383044985905485,155304.2525954482,9.497222844076637
0,sp,6,True,0.8,0.14462993191671497,163950.5227308234,10.904704539027133,0.1416241889676544,161373.45276167258,10.463919337606779
0,sp,6,True,1.0,0.1451370181178353,164716.70844181225,10.851653781185005,0.13681260956390978,157134.29915637124,9.883488425698236
0,sp,7,False,0.1,0.13996886655150878,160039.2861808648,10.284667352320696,0.1348992445956889,154527.52918016244,9.723705357142821
0,sp,7,True,0.01,0.14244221812186109,161632.18885536114,10.570416564039462,0.138027328720296,156932.5460907233,10.053445846910783
0,sp,7,True,0.05,0.14207771360492844,161510.21575778144,10.621726949464534,0.13887518004323757,158106.0811990711,10.162580734872734
0,sp,7,True,0.1,0.14308254251359145,163076.48401142203,10.700939506681669,0.13694617950264104,156214.09554744762,10.004245614035037
0,sp,7,True,0.2,0.14263127364910144,163720.27896242542,10.566704315326636,0.13723018769932707,157585.58169622978,9.899197481572497
0,sp,7,True,0.35,0.14250037616734615,162097.663070377,10.685710448292197,0.13654221074843562,156738.9457572054,9.917048378076077
0,sp,7,True,0.6,0.14388673175030048,162531.53659991364,10.733388413732174,0.13481554443040022,155074.3806466877,9.787388582826752
0,sp,7,True,0.8,0.14337886800670935,163213.02567998372,10.783001773049634,0.13527060755373274,155806.87866087473,9.719236157161818
