Address,City,Lat,Lon
Aalsburg 1420,Wijchen,51.8073935,5.7139608
Eibert den Herderstraat 18,Harderwijk,52.3493933,5.6245382
Van Ekelenburgstraat 36,Nieuw-Amsterdam,52.7172442,6.8534915
Woude 36 D,de Woude,52.54692120000001,4.7757441
Amaliastein 82,Vianen (UT),51.9863362,5.0696686
Halve Maanstraat 12,Oostkapelle,51.56712539999999,3.5484659
Vliegent Hert 86,Lelystad,52.51540319999999,5.4408308
Populier 62,Best,51.5153302,5.390172
Julianastraat 55,Groot-Ammers,51.9258762,4.824117
Kennemerlaan 111,IJmuiden,52.46027609999999,4.6098251
Watermuntlaan 1,Oosthuizen,52.5696573,4.9970484
Smederij 148,Dronten,52.53838,5.683703599999999
Hoofdvaart 175,Dedemsvaart,52.5975385,6.4365326
Ridderspoor 18,Krimpen aan den IJssel,51.9225936,4.624419899999999
Merelstraat 11,Neede,52.1335324,6.6037078
Hollmanstraat 16,Sittard,50.99821679999999,5.8845719
Kerkweg 49,Malden,51.7859708,5.8462195
Carolusgulden 3,Dronten,52.5331169,5.705076200000001
Margrietstraat 2,Aalsmeer,52.27795589999999,4.7989817
Pelsakker 54,Breda,51.5734988,4.7926529
Rembrandtstraat 78,Nijmegen,51.837393,5.882177299999999
Watervogel 63,Lathum,51.9935028,6.045327599999999
Bovenstreek 14,Groningen,53.237759,6.5879984
Kerkdijk 25,Achterveld (UT),52.1349676,5.4995234
Staatssecretarislaan 144,Zwolle,52.4762229,6.1156865
Kastanjelaan 7,Lexmond,51.9624468,5.032754499999999
Jolwerf 22,Gouda,52.0347524,4.7137968
Arnhemseweg 218 2,Apeldoorn,52.1964775,5.9616666
Wortelstraat 13,Harlingen,53.1766643,5.4221599
Berkenpark 8,Beuningen (GE),51.8524498,5.7692472
St. Antoniuslaan 22,Sassenheim,52.2233184,4.5217082
Diepvoorde 3015,Wijchen,51.80373179999999,5.7267041
Breeuwer 113,Hoorn (NH),52.6549463,5.0471853
Petrus Dorrstraat 12,Kerkrade,50.8583101,6.021240300000001
Horusstraat 4,Almere,52.3527347,5.153526299999999
Meester Sprenkelsstraat 2,Sint Anthonis,51.6257491,5.8792601
Van Boetzelaerlaan 207,Den Haag,52.09404319999999,4.2712108
Essenrode 12,Voorhout,52.2282143,4.4805375
Adriaan van Ostadestraat 50,Almere,52.3801441,5.2539715
Koningsspil 13,Wieringerwaard,52.8416065,4.8640249
Chopinstraat 2,Castricum,52.5557654,4.674680599999999
Zwaluwweg 67,Enkhuizen,52.71493299999999,5.2750805
Zwanenveld 3115,Nijmegen,51.8213015,5.8051137
Breedweerlaan 123,Heemskerk,52.5201815,4.6864009
Koriander 2,Gendringen,51.8782309,6.374597
Savanne 103,Capelle aan den IJssel,51.9345393,4.610629299999999
Begoniastraat 41,Nieuw-Buinen,52.9756711,6.948623599999999
Angeler 17,Nijkerk,52.2156615,5.469251400000001
Tongerseweg 91,Maastricht,50.8428193,5.674639
Christinastraat 20,Kats,51.5695662,3.886276699999999
Weidmanstraat 16,Maastricht,50.86338680000001,5.6941934
Westerwolde 10,Lelystad,52.4957881,5.469034800000001
Speelkamp 59,Leusden,52.1415327,5.427346500000001
Havenkade 2,'s Gravenmoer,51.6585098,4.9474105
Zuiderdiep 203,Valthermond,52.8694875,6.940904700000001
P. Ketelaarstraat 8,Raamsdonksveer,51.7050043,4.8723974
Standerdlaan 10,Heiloo,52.60645,4.69225
Mercurion 6,Zevenaar,51.9437636,6.075607199999999
Paulus Potterstraat 51,Zutphen,52.139229,6.2108929
Binnenpad 143,Giethoorn,52.7175391,6.0907182
Singel 123,Odijk,52.0528893,5.2422748
Orionstraat 22,Eindhoven,51.4706825,5.494307
Laan van Kanaän 3,Beverwijk,52.4906808,4.657775099999999
Henriette Roland-Holststraat 8,Gorinchem,51.8315845,4.9976439
Johannaweg 20,Oosterbeek,51.9858217,5.8426103
Eikenstraat 41,Dongen,51.6182558,4.9459365
Plataanstraat 52,Made,51.6771585,4.8009232
Minderbroederstraat 8,Zierikzee,51.6512645,3.9168911
Van Boshuizenstraat 551,Amsterdam,52.324547,4.875362099999999
